date,group,clase2,clase1,year
203,2,11209620,9876494,2010
203,3,13992641,9419854,2010
203,4,7670147,6796344,2010
203,5,20612680,12161870,2010
203,6,9153270,7194690,2010
203,7,6511582,4075448,2010
203,8,4243016,3360957,2010
204,1,28090741,16875782,2011
204,2,11409670,9999852,2011
204,3,14030879,9482201,2011
204,4,7788476,6898035,2011
204,5,20829648,12265324,2011
204,6,9044541,7152344,2011
204,7,6562883,4127267,2011
204,8,4229193,3382794,2011
205,1,27559403,16667143,2011
205,2,11259000,9947637,2011
205,3,14106081,9557461,2011
205,4,7698314,6885218,2011
205,5,20772095,12311486,2011
205,6,9087845,7215882,2011
205,7,6668412,4158084,2011
205,8,4317190,3438842,2011
206,1,27377888,16582249,2011
206,2,11262022,9955410,2011
206,3,14096986,9561063,2011
206,4,7849033,6979382,2011
206,5,21026631,12481858,2011
206,6,9021625,7191075,2011
206,7,6747460,4230324,2011
206,8,4335286,3479238,2011
207,1,26827133,16408174,2011
207,2,11264667,9951359,2011
207,3,14027322,9640813,2011
207,4,7777738,6958856,2011
207,5,20863025,12447997,2011
207,6,8915984,7102641,2011
207,7,6968549,4359447,2011
207,8,4406604,3545615,2011
208,1,27247138,16515320,2012
208,2,11254379,9928260,2012
208,3,14257006,9739681,2012
208,4,7770045,6964587,2012
208,5,21122974,12568150,2012
208,6,9117633,7252130,2012
208,7,7116928,4442922,2012
208,8,4434607,3592800,2012
209,1,26557888,16220903,2012
209,2,10992090,9833738,2012
209,3,14225325,9770521,2012
209,4,7819418,7040589,2012
209,5,21202699,12660635,2012
209,6,9053317,7283734,2012
209,7,7208381,4549187,2012
209,8,4486857,3658462,2012
210,1,26419256,16153129,2012
210,2,11153752,9911780,2012
210,3,14517227,9876685,2012
210,4,7886317,7088517,2012
210,5,21377728,12780150,2012
210,6,9299166,7433763,2012
210,7,7363800,4645486,2012
210,8,4528526,3706162,2012
211,1,26386682,16141074,2012
211,2,11279878,9938095,2012
211,3,14634667,9969945,2012
211,4,7990765,7146849,2012
211,5,21757628,12943739,2012
211,6,9432798,7458797,2012
211,7,7666499,4797391,2012
211,8,4712862,3803400,2012
212,1,26653017,16174497,2013
212,2,11286022,9912180,2013
212,3,15016709,10176716,2013
212,4,8213629,7352218,2013
212,5,21758981,12912483,2013
212,6,9695535,7605756,2013
212,7,7767077,4864960,2013
212,8,4656516,3778775,2013
213,1,26443536,16173283,2013
213,2,11233948,9918632,2013
213,3,14845360,10189648,2013
213,4,8370403,7465664,2013
213,5,21268124,12717277,2013
213,6,9516719,7509194,2013
213,7,7704304,4843478,2013
213,8,4614032,3763281,2013
214,1,26695343,16294368,2013
214,2,11354028,9968068,2013
214,3,15000238,10267945,2013
214,4,8282214,7401743,2013
214,5,21519786,12820185,2013
214,6,9519197,7540121,2013
214,7,7536983,4783481,2013
214,8,4610993,3737596,2013
215,1,26652677,16347166,2013
215,2,11156735,9939462,2013
215,3,15062300,10311945,2013
215,4,8314255,7487097,2013
215,5,21243645,12680923,2013
215,6,9255515,7397676,2013
215,7,7670046,4843052,2013
215,8,4676367,3787824,2013
216,1,27277853,16528237,2014
216,2,11199534,9916905,2014
216,3,15635899,10627215,2014
216,4,8470573,7557860,2014
216,5,21574130,12813758,2014
216,6,9488464,7542043,2014
216,7,7680701,4827906,2014
216,8,4729481,3797656,2014
217,1,27174440,16458296,2014
217,2,11181023,9896132,2014
217,3,15690407,10658550,2014
217,4,8469283,7517258,2014
217,5,22054431,13075508,2014
217,6,9722938,7716941,2014
217,7,7685477,4826080,2014
217,8,4848303,3879353,2014
218,1,27371464,16523887,2014
218,2,11309263,9975053,2014
218,3,15963456,10754088,2014
218,4,8490849,7529468,2014
218,5,22302503,13224882,2014
218,6,9655705,7693179,2014
218,7,7852479,4943113,2014
218,8,4833498,3880923,2014
219,1,27313714,16575475,2014
219,2,11152117,9941309,2014
219,3,15853319,10712665,2014
219,4,8548093,7628692,2014
219,5,22490259,13349720,2014
219,6,9717320,7748854,2014
219,7,8027342,5015790,2014
219,8,4873212,3910778,2014
220,1,27599794,16687459,2015
220,2,11203320,9976162,2015
220,3,16079801,10862573,2015
220,4,8631193,7694874,2015
220,5,22682806,13494920,2015
220,6,9870360,7850144,2015
220,7,7932286,4979769,2015
220,8,4849772,3904822,2015
221,1,27149060,16464338,2015
221,2,11206471,9982322,2015
221,3,16126880,10907880,2015
221,4,8831455,7861211,2015
221,5,22705184,13523019,2015
221,6,9922923,7887665,2015
221,7,7985215,5028511,2015
221,8,4966670,3966381,2015
222,1,27156339,16504567,2015
222,2,11205106,9954502,2015
222,3,16326154,10989980,2015
222,4,9020331,7959016,2015
222,5,22627192,13509414,2015
222,6,9827168,7843685,2015
222,7,8102206,5126811,2015
222,8,5023167,4013271,2015
223,1,26471141,16189199,2015
223,2,11076534,9921380,2015
223,3,16249601,11030257,2015
223,4,9127047,8137110,2015
223,5,22658776,13543026,2015
223,6,9796250,7826029,2015
223,7,8206813,5172694,2015
223,8,5203868,4100820,2015
224,1,26714132,16235153,2016
224,2,11154821,9911173,2016
224,3,16782566,11308557,2016
224,4,9108278,8131090,2016
224,5,23151964,13775226,2016
224,6,10200189,8066428,2016
224,7,8318388,5245994,2016
224,8,5189130,4132621,2016
225,1,26494785,16156774,2016
225,2,10872507,9757124,2016
225,3,16960559,11448993,2016
225,4,9167714,8184533,2016
225,5,23249009,13829419,2016
225,6,10145183,8089455,2016
225,7,8349303,5281467,2016
225,8,5256132,4185143,2016
226,1,26629367,16203223,2016
226,2,10932621,9794600,2016
226,3,17073810,11517953,2016
226,4,9301031,8245468,2016
226,5,23232456,13851374,2016
226,6,10304080,8202578,2016
226,7,8520486,5370017,2016
226,8,5390910,4260973,2016
227,1,26655357,16255892,2016
227,2,10876051,9749173,2016
227,3,17097682,11535571,2016
227,4,9389423,8351030,2016
227,5,23360694,13942744,2016
227,6,10071955,8121308,2016
227,7,8579295,5404140,2016
227,8,5280204,4246752,2016
228,1,26847638,16306539,2017
228,2,10917361,9778972,2017
228,3,17209355,11609433,2017
228,4,9098902,8169072,2017
228,5,23485804,13915155,2017
228,6,10246325,8176216,2017
228,7,8928414,5605906,2017
228,8,5444244,4417939,2017
229,1,26666953,16219658,2017
229,2,10805439,9677975,2017
229,3,17335742,11717401,2017
229,4,9146135,8207328,2017
229,5,23540951,13944422,2017
229,6,9986914,8064373,2017
229,7,9105843,5686042,2017
229,8,5710241,4558432,2017
230,1,26771606,16167018,2017
230,2,10717995,9608313,2017
230,3,17395153,11761755,2017
230,4,9341079,8350786,2017
230,5,23719636,14027602,2017
230,6,10086576,8130881,2017
230,7,9455476,5890598,2017
230,8,5812258,4625093,2017
231,1,26570478,16103367,2017
231,2,10775037,9603091,2017
231,3,17380987,11869741,2017
231,4,9381008,8419228,2017
231,5,23683423,14006400,2017
231,6,10277235,8223064,2017
231,7,9656297,6021814,2017
231,8,6012392,4759078,2017
232,1,26528489,16001290,2018
232,2,10602378,9521678,2018
232,3,17906779,12135259,2018
232,4,9398153,8448825,2018
232,5,23716262,14099228,2018
232,6,10146896,8211486,2018
232,7,9958679,6197275,2018
232,8,6204549,4946855,2018
233,1,25985979,15766748,2018
233,2,10552307,9479604,2018
233,3,18025443,12245099,2018
233,4,9702038,8677614,2018
233,5,23783448,14087441,2018
233,6,10285900,8293401,2018
233,7,9824759,6182664,2018
233,8,6273968,4968943,2018
234,1,25828457,15674876,2018
234,2,10501901,9445074,2018
234,3,18233633,12339182,2018
234,4,9778496,8744940,2018
234,5,24103073,14310338,2018
234,6,10421999,8408600,2018
234,7,10056077,6304311,2018
234,8,6256353,4984182,2018
235,1,25259964,15408302,2018
235,2,10541063,9411407,2018
235,3,18515831,12552476,2018
235,4,9973466,8878006,2018
235,5,24009073,14317522,2018
235,6,10552858,8457350,2018
235,7,10152792,6375630,2018
235,8,6352864,5031887,2018
236,1,25084879,15249519,2019
236,2,10552194,9369251,2019
236,3,18406276,12466036,2019
236,4,9906362,8905635,2019
236,5,24218720,14460163,2019
236,6,10795634,8582214,2019
236,7,10235077,6429399,2019
236,8,6283338,5026862,2019
237,1,24469502,14983422,2019
237,2,10421226,9286861,2019
237,3,18346091,12493312,2019
237,4,10152584,9034069,2019
237,5,24524520,14641979,2019
237,6,10951946,8719246,2019
237,7,10079122,6386192,2019
237,8,6462227,5114499,2019
238,1,24200311,14851329,2019
238,2,10506920,9309421,2019
238,3,18713579,12662400,2019
238,4,10121271,9025447,2019
238,5,24383165,14681429,2019
238,6,10987827,8772207,2019
238,7,10240207,6472010,2019
238,8,6452521,5109523,2019
239,1,24031085,14783520,2019
239,2,10509754,9322220,2019
239,3,18564692,12690648,2019
239,4,10231611,9136223,2019
239,5,24456673,14699005,2019
239,6,10969294,8765031,2019
239,7,10303604,6523009,2019
239,8,6519286,5150399,2019
240,1,23956279,14694834,2020
240,2,10475510,9281856,2020
240,3,18664440,12753986,2020
240,4,10454213,9242705,2020
240,5,24893528,14896023,2020
240,6,11046334,8815822,2020
240,7,10578992,6697336,2020
240,8,6737275,5319624,2020
242,1,24431470,14857959,2020
242,2,10781228,9349517,2020
242,3,21163944,14230630,2020
242,4,12136687,10328465,2020
242,5,25657282,15169951,2020
242,6,11888123,9318795,2020
242,7,12315012,7691714,2020
242,8,7837394,6034587,2020
243,1,23914553,14601718,2020
243,2,10147627,8989899,2020
243,3,19941326,13584877,2020
243,4,11206863,9814625,2020
243,5,25342989,15157482,2020
243,6,11612244,9322146,2020
243,7,12078299,7581183,2020
243,8,7329716,5683660,2020
244,1,24509191,14766363,2021
244,2,9983378,8872880,2021
244,3,20139538,13755525,2021
244,4,11553529,10132978,2021
244,5,25653754,15200378,2021
244,6,11352752,9117355,2021
244,7,12161985,7552299,2021
244,8,7496535,5822287,2021
245,1,23109213,14153562,2021
245,2,9770866,8754552,2021
245,3,19963699,13677021,2021
245,4,11410202,10104368,2021
245,5,25806912,15465201,2021
245,6,11334131,9142745,2021
245,7,11885274,7530457,2021
245,8,7233151,5700631,2021
